,index,Solver,CompileCluster,RefineCluster,Binary,Width,RealGap,MergeQuality,Problem,Conditions,Label
1,1,top-down,false,X,X,20,0.1321593599318248,216.52941176470588,talentsched,Gewoon,top-down-->Gewoon
3,1,top-down,false,X,X,500,0.09515390349782049,223.94117647058823,talentsched,Gewoon,top-down-->Gewoon
5,1,top-down,false,X,X,100,0.11358004993361129,223.88235294117646,talentsched,Gewoon,top-down-->Gewoon
7,1,top-down,false,X,X,200,0.10601627490596928,225.23529411764707,talentsched,Gewoon,top-down-->Gewoon
9,1,top-down,false,X,X,50,0.12414466317994662,218.41176470588235,talentsched,Gewoon,top-down-->Gewoon
11,1,top-down,false,X,X,1000,0.0887733349213625,217.11764705882354,talentsched,Gewoon,top-down-->Gewoon
13,1,top-down,true,X,X,20,0.13361836135728944,246.23529411764707,talentsched,Cluster,top-down-->Cluster
15,1,top-down,true,X,X,500,0.11759797742529492,494.2352941176471,talentsched,Cluster,top-down-->Cluster
17,1,top-down,true,X,X,100,0.13149859453164026,339.2352941176471,talentsched,Cluster,top-down-->Cluster
19,1,top-down,true,X,X,200,0.12374404274328335,458.05882352941177,talentsched,Cluster,top-down-->Cluster
21,1,top-down,true,X,X,50,0.13255847794446482,342.8235294117647,talentsched,Cluster,top-down-->Cluster
23,1,top-down,true,X,X,1000,0.1095088692085659,487.47058823529414,talentsched,Cluster,top-down-->Cluster
37,1,top-down,false,X,X,20,0.3719152186804526,70806078.43137255,tsptw,Gewoon,top-down-->Gewoon
39,1,top-down,false,X,X,500,0.16667229666668631,41821956.52173913,tsptw,Gewoon,top-down-->Gewoon
41,1,top-down,false,X,X,100,0.22656538443230803,63827254.90196078,tsptw,Gewoon,top-down-->Gewoon
43,1,top-down,false,X,X,200,0.1831157812084397,52716326.530612245,tsptw,Gewoon,top-down-->Gewoon
45,1,top-down,false,X,X,50,0.28494340302553584,65729607.84313726,tsptw,Gewoon,top-down-->Gewoon
47,1,top-down,false,X,X,1000,0.1524041942955444,32199302.325581394,tsptw,Gewoon,top-down-->Gewoon
49,1,top-down,true,X,X,20,0.06505706801579676,4006078.431372549,tsptw,Cluster,top-down-->Cluster
51,1,top-down,true,X,X,500,0.04855241734024636,37647.05882352941,tsptw,Cluster,top-down-->Cluster
53,1,top-down,true,X,X,100,0.05847989304276791,399019.60784313723,tsptw,Cluster,top-down-->Cluster
55,1,top-down,true,X,X,200,0.04999969459681788,98039.2156862745,tsptw,Cluster,top-down-->Cluster
57,1,top-down,true,X,X,50,0.059078257797429055,1195098.0392156863,tsptw,Cluster,top-down-->Cluster
59,1,top-down,true,X,X,1000,0.049725495223113876,13333.333333333334,tsptw,Cluster,top-down-->Cluster
61,1,top-down,false,X,X,20,0.5376634250847233,1.609375,misp,Gewoon,top-down-->Gewoon
63,1,top-down,false,X,X,500,0.3066719331730981,2.125,misp,Gewoon,top-down-->Gewoon
65,1,top-down,false,X,X,100,0.40239624810305663,1.796875,misp,Gewoon,top-down-->Gewoon
67,1,top-down,false,X,X,200,0.3588712230574381,1.875,misp,Gewoon,top-down-->Gewoon
69,1,top-down,false,X,X,50,0.45832850490885146,1.6875,misp,Gewoon,top-down-->Gewoon
71,1,top-down,false,X,X,1000,0.26260640022179826,2.28125,misp,Gewoon,top-down-->Gewoon
73,1,top-down,true,X,X,20,0.45519386868153233,9.4375,misp,Cluster,top-down-->Cluster
75,1,top-down,true,X,X,500,0.3456096439504173,29.875,misp,Cluster,top-down-->Cluster
77,1,top-down,true,X,X,100,0.4038499654201995,26.03125,misp,Cluster,top-down-->Cluster
79,1,top-down,true,X,X,200,0.37959488380078393,29.90625,misp,Cluster,top-down-->Cluster
81,1,top-down,true,X,X,50,0.43653242941741527,20.375,misp,Cluster,top-down-->Cluster
83,1,top-down,true,X,X,1000,0.3137941931709383,27.328125,misp,Cluster,top-down-->Cluster
85,1,top-down,false,X,X,20,0.7328939241498428,5065.0,sop,Gewoon,top-down-->Gewoon
87,1,top-down,false,X,X,500,0.3462741022202401,5699.945945945946,sop,Gewoon,top-down-->Gewoon
89,1,top-down,false,X,X,100,0.45439605143608935,5437.054054054054,sop,Gewoon,top-down-->Gewoon
91,1,top-down,false,X,X,200,0.3954845256460501,5487.081081081081,sop,Gewoon,top-down-->Gewoon
93,1,top-down,false,X,X,50,0.5683856796186005,5285.540540540541,sop,Gewoon,top-down-->Gewoon
95,1,top-down,false,X,X,1000,0.32216693190275875,5812.891891891892,sop,Gewoon,top-down-->Gewoon
97,1,top-down,true,X,X,20,0.9619966427662764,13418.135135135135,sop,Cluster,top-down-->Cluster
99,1,top-down,true,X,X,500,0.8750444799252703,19448.864864864863,sop,Cluster,top-down-->Cluster
101,1,top-down,true,X,X,100,0.9067813751844771,43402.10810810811,sop,Cluster,top-down-->Cluster
103,1,top-down,true,X,X,200,0.8920904283157608,20716.91891891892,sop,Cluster,top-down-->Cluster
105,1,top-down,true,X,X,50,0.9289675263713011,31014.37837837838,sop,Cluster,top-down-->Cluster
107,1,top-down,true,X,X,1000,0.834203126064034,24462.837837837837,sop,Cluster,top-down-->Cluster
121,1,top-down,false,X,X,20,0.3154083437541898,44251.86666666667,knapsack,Gewoon,top-down-->Gewoon
123,1,top-down,false,X,X,500,0.23179381263408003,10693.541666666666,knapsack,Gewoon,top-down-->Gewoon
125,1,top-down,false,X,X,100,0.273680887506616,44583.566666666666,knapsack,Gewoon,top-down-->Gewoon
127,1,top-down,false,X,X,200,0.2804769164751258,22866.074074074073,knapsack,Gewoon,top-down-->Gewoon
129,1,top-down,false,X,X,50,0.29157749647094333,44547.73333333333,knapsack,Gewoon,top-down-->Gewoon
131,1,top-down,false,X,X,1000,0.11268057702248958,10015.708333333334,knapsack,Gewoon,top-down-->Gewoon
133,1,top-down,true,X,X,20,0.18340881141539336,8246.533333333333,knapsack,Cluster,top-down-->Cluster
135,1,top-down,true,X,X,500,0.012739506525722435,4525.0,knapsack,Cluster,top-down-->Cluster
137,1,top-down,true,X,X,100,0.06456384204809898,9640.966666666667,knapsack,Cluster,top-down-->Cluster
139,1,top-down,true,X,X,200,0.03535928395624942,7662.518518518518,knapsack,Cluster,top-down-->Cluster
141,1,top-down,true,X,X,50,0.11179806301854481,9278.4,knapsack,Cluster,top-down-->Cluster
143,1,top-down,true,X,X,1000,0.004711840006926808,2806.7619047619046,knapsack,Cluster,top-down-->Cluster
145,1,top-down,false,X,X,20,0.00043345104159726324,1024.28,max2sat,Gewoon,top-down-->Gewoon
147,1,top-down,false,X,X,500,0.00039599030546510214,2856.16,max2sat,Gewoon,top-down-->Gewoon
149,1,top-down,false,X,X,100,0.0004107244236882062,2299.32,max2sat,Gewoon,top-down-->Gewoon
151,1,top-down,false,X,X,200,0.00039999103970607376,2625.32,max2sat,Gewoon,top-down-->Gewoon
153,1,top-down,false,X,X,50,0.0004195407933639137,1331.04,max2sat,Gewoon,top-down-->Gewoon
155,1,top-down,false,X,X,1000,0.0003896764483007346,3769.72,max2sat,Gewoon,top-down-->Gewoon
157,1,top-down,true,X,X,20,0.0004368879890187117,7995.56,max2sat,Cluster,top-down-->Cluster
159,1,top-down,true,X,X,500,0.00040165244564583573,22103.44,max2sat,Cluster,top-down-->Cluster
161,1,top-down,true,X,X,100,0.0004166933749033036,17793.76,max2sat,Cluster,top-down-->Cluster
163,1,top-down,true,X,X,200,0.0004103281687754886,18721.72,max2sat,Cluster,top-down-->Cluster
165,1,top-down,true,X,X,50,0.00042736235406903037,12750.56,max2sat,Cluster,top-down-->Cluster
167,1,top-down,true,X,X,1000,0.00040226702246542816,19134.84,max2sat,Cluster,top-down-->Cluster
