Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,MergeQuality,Binary,Solver,Width,Gap,Objective
f4_l-d_kp_4_11,             23.0,             23.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.000,            23.0
f7_l-d_kp_7_50,             107.0,             107.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.000,            107.0
knapPI_3_200_1000_1,             1092.0,             3792.0,             0.043,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.712,            1092.0
knapPI_2_1000_1000_1,             -9.223372036854776e+18,             99021.0,             0.766,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
f6_l-d_kp_10_60,             52.0,             52.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.000,            52.0
knapPI_1_2000_1000_1,             -9.223372036854776e+18,             535441.0,             1.404,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_2_2000_1000_1,             -9.223372036854776e+18,             271102.0,             1.564,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_1_500_1000_1,             -9.223372036854776e+18,             68150.0,             0.370,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
f8_l-d_kp_23_10000,             2774.0,             9767.0,             0.005,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.716,            2774.0
knapPI_3_2000_1000_1,             -9.223372036854776e+18,             323839.0,             1.364,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_2_500_1000_1,             -9.223372036854776e+18,             21439.0,             0.352,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_3_1000_1000_1,             -9.223372036854776e+18,             125295.0,             0.771,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_1_200_1000_1,             -9.223372036854776e+18,             13509.0,             0.073,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
f2_l-d_kp_20_878,             -9.223372036854776e+18,             1024.0,             0.005,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_1_5000_1000_1,             -9.223372036854776e+18,             2155276.0,             2.510,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_2_10000_1000_1,             -9.223372036854776e+18,             4356262.0,             5.702,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
f10_l-d_kp_20_879,             44.0,             1046.0,             0.005,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.958,            44.0
knapPI_1_1000_1000_1,             -9.223372036854776e+18,             186640.0,             0.771,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
f3_l-d_kp_4_20,             35.0,             35.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.000,            35.0
knapPI_3_100_1000_1,             889.0,             2789.0,             0.027,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.681,            889.0
knapPI_3_500_1000_1,             -9.223372036854776e+18,             34502.0,             0.282,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_3_10000_1000_1,             -9.223372036854776e+18,             5093862.0,             6.046,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_2_200_1000_1,             -9.223372036854776e+18,             2437.0,             0.067,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
f1_l-d_kp_10_269,             134.0,             296.0,             0.001,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.547,            134.0
knapPI_3_5000_1000_1,             -9.223372036854776e+18,             1479628.0,             3.242,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_2_5000_1000_1,             -9.223372036854776e+18,             1151320.0,             3.251,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_1_100_1000_1,             -9.223372036854776e+18,             9809.0,             0.027,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
knapPI_2_100_1000_1,             -9.223372036854776e+18,             1813.0,             0.026,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
f9_l-d_kp_5_80,             130.0,             130.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            50,            0.000,            130.0
knapPI_1_10000_1000_1,             -9.223372036854776e+18,             4979067.0,             6.908,            false,             true,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
f4_l-d_kp_4_11,             23.0,             23.0,             0.000,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            23.0
f7_l-d_kp_7_50,             107.0,             107.0,             0.000,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            107.0
knapPI_3_200_1000_1,             2697.0,             2697.0,             0.690,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            2697.0
knapPI_2_1000_1000_1,             7983.0,             300151.0,             120.163,            true,             false,            false,            false,            0.0,            false,            BB,            0,            0.973,            7983.0
