Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
knapPI_3_500_1000_1,             -9223372036854775808,             100444,             0.462,            false,             false,            false,            false,            IR,            200,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             342482,             0.998,            false,             false,            false,            false,            IR,            200,            1.000,            -1
knapPI_2_2000_1000_1,             -9223372036854775808,             886260,             2.079,            false,             false,            false,            false,            IR,            200,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            35
f8_l-d_kp_23_10000,             -9223372036854775808,             16396,             0.011,            false,             false,            false,            false,            IR,            200,            1.000,            -1
knapPI_1_500_1000_1,             -9223372036854775808,             118197,             0.464,            false,             false,            false,            false,            IR,            200,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             886824,             2.186,            false,             false,            false,            false,            IR,            200,            1.000,            -1
knapPI_3_100_1000_1,             -9223372036854775808,             5620,             0.050,            false,             false,            false,            false,            IR,            200,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1025,             0.003,            false,             false,            false,            false,            IR,            200,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            107
knapPI_2_200_1000_1,             1634,             1634,             0.114,            false,             false,            false,            false,            IR,            200,            0.000,            1634
knapPI_1_1000_1000_1,             -9223372036854775808,             367732,             1.182,            false,             false,            false,            false,            IR,            200,            1.000,            -1
knapPI_3_2000_1000_1,             -9223372036854775808,             1008103,             2.171,            false,             false,            false,            false,            IR,            200,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.015,            false,             false,            false,            false,            IR,            200,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.001,            false,             false,            false,            false,            IR,            200,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.001,            false,             false,            false,            false,            IR,            200,            0.000,            295
knapPI_3_1000_1000_1,             -9223372036854775808,             392132,             1.013,            false,             false,            false,            false,            IR,            200,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            23
knapPI_3_200_1000_1,             -9223372036854775808,             10995,             0.125,            false,             false,            false,            false,            IR,            200,            1.000,            -1
knapPI_1_200_1000_1,             11238,             11238,             0.061,            false,             false,            false,            false,            IR,            200,            0.000,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.022,            false,             false,            false,            false,            IR,            200,            0.000,            1514
knapPI_2_500_1000_1,             -9223372036854775808,             87486,             0.449,            false,             false,            false,            false,            IR,            200,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.005,            false,             false,            false,            false,            IR,            200,            0.000,            1024
knapPI_3_500_1000_1,             134,             7870,             2.903,            false,             true,            false,            false,            IR,            200,            0.983,            134
knapPI_2_1000_1000_1,             -9223372036854775808,             21526,             6.850,            false,             true,            false,            false,            IR,            200,            1.000,            -1
knapPI_2_2000_1000_1,             -9223372036854775808,             118709,             14.035,            false,             true,            false,            false,            IR,            200,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             true,            false,            false,            IR,            200,            0.000,            35
f8_l-d_kp_23_10000,             5179,             9767,             0.115,            false,             true,            false,            false,            IR,            200,            0.470,            5179
knapPI_1_500_1000_1,             -9223372036854775808,             32789,             3.271,            false,             true,            false,            false,            IR,            200,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             368556,             14.245,            false,             true,            false,            false,            IR,            200,            1.000,            -1
knapPI_3_100_1000_1,             1072,             2397,             0.345,            false,             true,            false,            false,            IR,            200,            0.553,            1072
f10_l-d_kp_20_879,             1025,             1025,             0.006,            false,             true,            false,            false,            IR,            200,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             true,            false,            false,            IR,            200,            0.000,            107
knapPI_2_200_1000_1,             1634,             1634,             0.145,            false,             true,            false,            false,            IR,            200,            0.000,            1634
knapPI_1_1000_1000_1,             -9223372036854775808,             100242,             8.450,            false,             true,            false,            false,            IR,            200,            1.000,            -1
knapPI_3_2000_1000_1,             0,             44709,             13.501,            false,             true,            false,            false,            IR,            200,            1.000,            0
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             true,            false,            false,            IR,            200,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.023,            false,             true,            false,            false,            IR,            200,            0.000,            9147
