Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,MergeQuality,Binary,Solver,Width,Gap,Objective
poz_12_3_5,             -9.223372036854776e+18,             659.0,             0.661,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_0,             -9.223372036854776e+18,             662.0,             0.654,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_3,             -9.223372036854776e+18,             790.0,             0.756,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
Bacteria;Fibrobacteres,             -9.223372036854776e+18,             1408.0,             0.344,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_4,             -9.223372036854776e+18,             738.0,             0.757,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
Bacteria;Lentisphaerae,             -9.223372036854776e+18,             1434.0,             0.346,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_1,             -9.223372036854776e+18,             572.0,             0.553,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_4,             -9.223372036854776e+18,             746.0,             0.707,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_3,             -9.223372036854776e+18,             786.0,             0.864,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
Bacteria;Chrysiogenetes,             -9.223372036854776e+18,             1408.0,             0.302,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_2,             -9.223372036854776e+18,             747.0,             0.736,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_6,             -9.223372036854776e+18,             659.0,             0.650,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_9,             -9.223372036854776e+18,             829.0,             0.861,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_5,             -9.223372036854776e+18,             649.0,             0.589,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_8,             -9.223372036854776e+18,             741.0,             0.765,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_0,             -9.223372036854776e+18,             652.0,             0.667,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_9,             -9.223372036854776e+18,             839.0,             0.832,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_7,             -9.223372036854776e+18,             639.0,             0.596,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_1,             -9.223372036854776e+18,             619.0,             0.589,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_2,             -9.223372036854776e+18,             760.0,             0.537,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_7,             -9.223372036854776e+18,             580.0,             0.608,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_8,             -9.223372036854776e+18,             746.0,             0.742,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
Bacteria;Elusimicrobia,             -9.223372036854776e+18,             1388.0,             0.329,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
neg_12_3_6,             -9.223372036854776e+18,             649.0,             0.654,            false,             false,            true,            false,            0.0,            false,            TD,            50,            1.000,            -1.0
poz_12_3_5,             256.0,             256.0,             86.864,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            256.0
poz_12_3_0,             276.0,             359.0,             121.509,            true,             false,            false,            false,            0.0,            false,            BB,            0,            0.231,            276.0
neg_12_3_3,             358.0,             358.0,             31.112,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            358.0
neg_12_3_4,             266.0,             266.0,             107.508,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            266.0
neg_12_3_1,             203.0,             203.0,             47.200,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            203.0
poz_12_3_4,             267.0,             267.0,             82.936,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            267.0
