Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
mcp_n30_p0,             -9.223372036854776e+18,             18.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             22.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             18.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             24.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             26.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             28.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             21.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             24.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n40_p0,             -9.223372036854776e+18,             93.0,             0.004,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             23.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             19.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n50_p0,             -9.223372036854776e+18,             154.0,             0.006,            false,             false,            false,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             17.0,             0.001,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             22.0,             0.001,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             21.0,             0.002,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             24.0,             0.001,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             26.0,             0.001,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             28.0,             0.001,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             23.0,             0.001,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             25.0,             0.001,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n40_p0,             -9.223372036854776e+18,             101.0,             0.007,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             24.0,             0.001,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             -9.223372036854776e+18,             20.0,             0.001,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n50_p0,             -9.223372036854776e+18,             180.0,             0.011,            false,             false,            true,            false,            TD,            50,            1.000,            -1.0
mcp_n30_p0,             13.0,             13.0,             0.081,            false,             false,            false,            false,            BB,            0,            0.000,            13.0
mcp_n30_p0,             16.0,             16.0,             0.067,            false,             false,            false,            false,            BB,            0,            0.000,            16.0
mcp_n30_p0,             15.0,             15.0,             0.018,            false,             false,            false,            false,            BB,            0,            0.000,            15.0
mcp_n30_p0,             18.0,             18.0,             0.036,            false,             false,            false,            false,            BB,            0,            0.000,            18.0
mcp_n30_p0,             20.0,             20.0,             0.090,            false,             false,            false,            false,            BB,            0,            0.000,            20.0
mcp_n30_p0,             22.0,             22.0,             0.078,            false,             false,            false,            false,            BB,            0,            0.000,            22.0
mcp_n30_p0,             18.0,             18.0,             0.014,            false,             false,            false,            false,            BB,            0,            0.000,            18.0
mcp_n30_p0,             19.0,             19.0,             0.017,            false,             false,            false,            false,            BB,            0,            0.000,            19.0
mcp_n40_p0,             52.0,             52.0,             10.285,            false,             false,            false,            false,            BB,            0,            0.000,            52.0
mcp_n30_p0,             19.0,             19.0,             0.025,            false,             false,            false,            false,            BB,            0,            0.000,            19.0
mcp_n30_p0,             12.0,             12.0,             0.088,            false,             false,            false,            false,            BB,            0,            0.000,            12.0
mcp_n50_p0,             76.0,             112.0,             30.603,            true,             false,            false,            false,            BB,            0,            0.321,            76.0
