Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
johnson32-2-4,             -9223372036854775808,             38,             0.468,            false,             false,            false,            false,            IR,            200,            1.000,            -1
san400_0,             -9223372036854775808,             234,             0.385,            false,             false,            false,            false,            IR,            200,            1.000,            -1
johnson8-4-4,             14,             14,             0.032,            false,             false,            false,            false,            IR,            200,            0.000,            14
c-fat500-2,             26,             26,             0.470,            false,             false,            false,            false,            IR,            200,            0.000,            26
brock200_3,             -9223372036854775808,             50,             0.163,            false,             false,            false,            false,            IR,            200,            1.000,            -1
brock800_1,             -9223372036854775808,             209,             0.872,            false,             false,            false,            false,            IR,            200,            1.000,            -1
san400_0,             -9223372036854775808,             139,             0.364,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat300-1,             -9223372036854775808,             27,             0.215,            false,             false,            false,            false,            IR,            200,            1.000,            -1
brock200_1,             -9223372036854775808,             71,             0.158,            false,             false,            false,            false,            IR,            200,            1.000,            -1
san400_0,             -9223372036854775808,             170,             0.361,            false,             false,            false,            false,            IR,            200,            1.000,            -1
sanr200_0,             -9223372036854775808,             114,             0.180,            false,             false,            false,            false,            IR,            200,            1.000,            -1
c-fat500-10,             126,             126,             0.485,            false,             false,            false,            false,            IR,            200,            0.000,            126
johnson8-2-4,             4,             4,             0.006,            false,             false,            false,            false,            IR,            200,            0.000,            4
c-fat200-2,             24,             24,             0.155,            false,             false,            false,            false,            IR,            200,            0.000,            24
keller5,             -9223372036854775808,             97,             0.762,            false,             false,            false,            false,            IR,            200,            1.000,            -1
MANN_a45,             -9223372036854775808,             417,             1.207,            false,             false,            false,            false,            IR,            200,            1.000,            -1
hamming10-4,             -9223372036854775808,             86,             1.085,            false,             false,            false,            false,            IR,            200,            1.000,            -1
san200_0,             -9223372036854775808,             77,             0.151,            false,             false,            false,            false,            IR,            200,            1.000,            -1
keller4,             -9223372036854775808,             22,             0.109,            false,             false,            false,            false,            IR,            200,            1.000,            -1
MANN_a9,             -9223372036854775808,             19,             0.021,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat500-1,             -9223372036854775808,             43,             0.459,            false,             false,            false,            false,            IR,            200,            1.000,            -1
san400_0,             -9223372036854775808,             97,             0.354,            false,             false,            false,            false,            IR,            200,            1.000,            -1
brock800_4,             -9223372036854775808,             213,             0.849,            false,             false,            false,            false,            IR,            200,            1.000,            -1
brock400_2,             -9223372036854775808,             140,             0.392,            false,             false,            false,            false,            IR,            200,            1.000,            -1
brock200_2,             -9223372036854775808,             36,             0.163,            false,             false,            false,            false,            IR,            200,            1.000,            -1
sanr400_0,             -9223372036854775808,             131,             0.377,            false,             false,            false,            false,            IR,            200,            1.000,            -1
sanr200_0,             -9223372036854775808,             64,             0.145,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat1500-2,             -9223372036854775808,             345,             1.681,            false,             false,            false,            false,            IR,            200,            1.000,            -1
brock400_4,             -9223372036854775808,             146,             0.396,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat1000-1,             -9223372036854775808,             81,             1.044,            false,             false,            false,            false,            IR,            200,            1.000,            -1
MANN_a27,             -9223372036854775808,             157,             0.368,            false,             false,            false,            false,            IR,            200,            1.000,            -1
sanr400_0,             -9223372036854775808,             69,             0.351,            false,             false,            false,            false,            IR,            200,            1.000,            -1
c-fat200-1,             12,             12,             0.135,            false,             false,            false,            false,            IR,            200,            0.000,            12
p_hat300-2,             -9223372036854775808,             68,             0.225,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat500-3,             -9223372036854775808,             191,             0.509,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat700-2,             -9223372036854775808,             157,             0.856,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat1500-1,             -9223372036854775808,             127,             1.657,            false,             false,            false,            false,            IR,            200,            1.000,            -1
hamming8-2,             128,             128,             0.242,            false,             false,            false,            false,            IR,            200,            0.000,            128
p_hat500-2,             -9223372036854775808,             115,             0.515,            false,             false,            false,            false,            IR,            200,            1.000,            -1
c-fat200-5,             58,             58,             0.159,            false,             false,            false,            false,            IR,            200,            0.000,            58
san400_0,             -9223372036854775808,             153,             0.374,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat1500-3,             -9223372036854775808,             577,             1.799,            false,             false,            false,            false,            IR,            200,            1.000,            -1
johnson16-2-4,             -9223372036854775808,             15,             0.065,            false,             false,            false,            false,            IR,            200,            1.000,            -1
c-fat500-1,             14,             14,             0.456,            false,             false,            false,            false,            IR,            200,            0.000,            14
san200_0,             -9223372036854775808,             121,             0.183,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat1000-3,             -9223372036854775808,             375,             1.085,            false,             false,            false,            false,            IR,            200,            1.000,            -1
brock400_1,             -9223372036854775808,             140,             0.445,            false,             false,            false,            false,            IR,            200,            1.000,            -1
brock800_3,             -9223372036854775808,             211,             0.853,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat700-1,             -9223372036854775808,             60,             0.696,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat1000-2,             -9223372036854775808,             214,             1.107,            false,             false,            false,            false,            IR,            200,            1.000,            -1
san1000,             -9223372036854775808,             266,             1.021,            false,             false,            false,            false,            IR,            200,            1.000,            -1
san200_0,             -9223372036854775808,             117,             0.159,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat700-3,             -9223372036854775808,             272,             0.729,            false,             false,            false,            false,            IR,            200,            1.000,            -1
san200_0,             -9223372036854775808,             114,             0.177,            false,             false,            false,            false,            IR,            200,            1.000,            -1
brock200_4,             -9223372036854775808,             55,             0.175,            false,             false,            false,            false,            IR,            200,            1.000,            -1
p_hat300-3,             -9223372036854775808,             115,             0.245,            false,             false,            false,            false,            IR,            200,            1.000,            -1
hamming6-4,             4,             5,             0.019,            false,             false,            false,            false,            IR,            200,            0.200,            4
brock400_3,             -9223372036854775808,             141,             0.351,            false,             false,            false,            false,            IR,            200,            1.000,            -1
hamming8-4,             -9223372036854775808,             20,             0.197,            false,             false,            false,            false,            IR,            200,            1.000,            -1
san200_0,             -9223372036854775808,             78,             0.144,            false,             false,            false,            false,            IR,            200,            1.000,            -1
hamming10-2,             512,             512,             1.260,            false,             false,            false,            false,            IR,            200,            0.000,            512
hamming6-2,             32,             32,             0.031,            false,             false,            false,            false,            IR,            200,            0.000,            32
brock800_2,             -9223372036854775808,             213,             0.842,            false,             false,            false,            false,            IR,            200,            1.000,            -1
c-fat500-5,             64,             64,             0.462,            false,             false,            false,            false,            IR,            200,            0.000,            64
johnson32-2-4,             0,             28,             1.539,            false,             true,            false,            false,            IR,            200,            1.000,            0
san400_0,             0,             238,             2.441,            false,             true,            false,            false,            IR,            200,            1.000,            0
johnson8-4-4,             14,             14,             0.143,            false,             true,            false,            false,            IR,            200,            0.000,            14
c-fat500-2,             26,             26,             1.334,            false,             true,            false,            false,            IR,            200,            0.000,            26
brock200_3,             0,             48,             0.648,            false,             true,            false,            false,            IR,            200,            1.000,            0
brock800_1,             0,             241,             5.333,            false,             true,            false,            false,            IR,            200,            1.000,            0
san400_0,             0,             135,             1.896,            false,             true,            false,            false,            IR,            200,            1.000,            0
p_hat300-1,             0,             25,             0.726,            false,             true,            false,            false,            IR,            200,            1.000,            0
brock200_1,             0,             69,             0.870,            false,             true,            false,            false,            IR,            200,            1.000,            0
san400_0,             0,             159,             2.031,            false,             true,            false,            false,            IR,            200,            1.000,            0
sanr200_0,             0,             112,             0.927,            false,             true,            false,            false,            IR,            200,            1.000,            0
c-fat500-10,             126,             126,             2.309,            false,             true,            false,            false,            IR,            200,            0.000,            126
johnson8-2-4,             4,             4,             0.034,            false,             true,            false,            false,            IR,            200,            0.000,            4
c-fat200-2,             24,             24,             0.477,            false,             true,            false,            false,            IR,            200,            0.000,            24
keller5,             0,             96,             3.194,            false,             true,            false,            false,            IR,            200,            1.000,            0
MANN_a45,             -9223372036854775808,             384,             7.567,            false,             true,            false,            false,            IR,            200,            1.000,            -1
hamming10-4,             0,             81,             4.124,            false,             true,            false,            false,            IR,            200,            1.000,            0
san200_0,             0,             71,             0.754,            false,             true,            false,            false,            IR,            200,            1.000,            0
keller4,             0,             22,             0.433,            false,             true,            false,            false,            IR,            200,            1.000,            0
MANN_a9,             0,             18,             0.138,            false,             true,            false,            false,            IR,            200,            1.000,            0
p_hat500-1,             0,             39,             1.467,            false,             true,            false,            false,            IR,            200,            1.000,            0
san400_0,             0,             94,             1.577,            false,             true,            false,            false,            IR,            200,            1.000,            0
brock800_4,             -9223372036854775808,             246,             4.757,            false,             true,            false,            false,            IR,            200,            1.000,            -1
brock400_2,             0,             141,             1.996,            false,             true,            false,            false,            IR,            200,            1.000,            0
brock200_2,             0,             34,             0.585,            false,             true,            false,            false,            IR,            200,            1.000,            0
sanr400_0,             0,             127,             1.773,            false,             true,            false,            false,            IR,            200,            1.000,            0
