Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
ry48p,             inf,             7688.0,             0.097,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
kro124p,             inf,             27285.0,             0.303,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
rbg253a,             inf,             1952.0,             0.303,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ESC47,             inf,             378.0,             0.138,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
p43,             inf,             820.0,             0.043,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
p43,             inf,             265.0,             0.100,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
kro124p,             inf,             14087.0,             0.882,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
kro124p,             inf,             35378.0,             0.161,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ft53,             inf,             2647.0,             0.139,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ft53,             inf,             2197.0,             0.183,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ft53,             inf,             3788.0,             0.084,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ESC63,             inf,             31.0,             0.287,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
p43,             inf,             405.0,             0.065,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ft53,             inf,             6534.0,             0.040,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ry48p,             inf,             9827.0,             0.027,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
rbg150a,             inf,             779.0,             0.159,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
rbg109a,             inf,             564.0,             0.056,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
rbg048a,             inf,             133.0,             0.105,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
rbg050c,             inf,             174.0,             0.096,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ry48p,             inf,             8243.0,             0.057,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
prob,             inf,             347.0,             0.552,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ft70,             inf,             30109.0,             0.083,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
prob,             inf,             118.0,             0.079,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
kro124p,             inf,             16384.0,             0.671,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ESC11,             inf,             1665.0,             0.002,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
br17,             58.0,             47.0,             0.003,            false,             false,            false,            false,            TD,            100,            0.190,            58.0
ft70,             inf,             17442.0,             0.360,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
br17,             58.0,             45.0,             0.007,            false,             false,            false,            false,            TD,            100,            0.224,            58.0
p43,             inf,             1845.0,             0.019,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ft70,             inf,             23694.0,             0.166,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ESC78,             inf,             10650.0,             0.087,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ESC12,             inf,             1175.0,             0.003,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ry48p,             inf,             6906.0,             0.129,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
rbg174a,             inf,             1342.0,             0.153,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ft70,             inf,             18896.0,             0.326,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ESC07,             2125.0,             2125.0,             0.000,            false,             false,            false,            false,            TD,            100,            0.000,            2125.0
ESC25,             inf,             718.0,             0.025,            false,             false,            false,            false,            TD,            100,            1.000,            1.0
ry48p,             inf,             1223.0,             0.509,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
kro124p,             inf,             1339.0,             1.359,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
rbg253a,             inf,             34.0,             0.871,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ESC47,             inf,             1.0,             0.601,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
p43,             inf,             215.0,             0.251,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
p43,             inf,             180.0,             0.541,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
kro124p,             inf,             1184.0,             3.939,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
kro124p,             inf,             1339.0,             0.696,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ft53,             inf,             313.0,             0.615,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ft53,             inf,             249.0,             0.700,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ft53,             inf,             377.0,             0.328,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ESC63,             inf,             31.0,             0.528,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
p43,             inf,             180.0,             0.408,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ft53,             inf,             634.0,             0.188,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ry48p,             inf,             2465.0,             0.167,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
rbg150a,             inf,             14.0,             0.500,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
rbg109a,             inf,             19.0,             0.250,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
rbg048a,             inf,             10.0,             0.374,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
rbg050c,             inf,             20.0,             0.383,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ry48p,             inf,             1405.0,             0.276,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
prob,             inf,             38.0,             3.757,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ft70,             inf,             2013.0,             0.334,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
prob,             inf,             8.0,             0.422,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
kro124p,             inf,             1339.0,             3.153,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ESC11,             inf,             364.0,             0.017,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
br17,             inf,             13.0,             0.024,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ft70,             inf,             1695.0,             1.419,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
br17,             inf,             10.0,             0.045,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
p43,             inf,             265.0,             0.109,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ft70,             inf,             1918.0,             0.670,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ESC78,             inf,             950.0,             0.259,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ESC12,             inf,             224.0,             0.025,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ry48p,             inf,             907.0,             0.650,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
rbg174a,             inf,             34.0,             0.519,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ft70,             inf,             1695.0,             1.014,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ESC07,             2125.0,             2125.0,             0.000,            false,             false,            true,            false,            TD,            100,            0.000,            2125.0
ESC25,             inf,             7.0,             0.125,            false,             false,            true,            false,            TD,            100,            1.000,            1.0
ry48p,             17499.0,             12357.0,             30.006,            true,             false,            false,            false,            BB,            0,            0.294,            17499.0
kro124p,             56077.0,             30806.0,             30.004,            true,             false,            false,            false,            BB,            0,            0.451,            56077.0
rbg253a,             2970.0,             2083.0,             30.002,            true,             false,            false,            false,            BB,            0,            0.299,            2970.0
ESC47,             1592.0,             625.0,             30.007,            true,             false,            false,            false,            BB,            0,            0.607,            1592.0
p43,             29260.0,             915.0,             30.010,            true,             false,            false,            false,            BB,            0,            0.969,            29260.0
p43,             28535.0,             560.0,             30.009,            true,             false,            false,            false,            BB,            0,            0.980,            28535.0
kro124p,             46109.0,             30288.0,             30.002,            true,             false,            false,            false,            BB,            0,            0.343,            46109.0
