Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,MergeQuality,Binary,Solver,Width,Gap,Objective
film117,             -9.223372036854776e+18,             716.0,             0.150,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
film116,             -9.223372036854776e+18,             431.0,             0.163,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
film119,             -9.223372036854776e+18,             631.0,             0.136,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
film103,             -9.223372036854776e+18,             844.0,             0.145,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
film118,             -9.223372036854776e+18,             697.0,             0.151,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
film114,             -9.223372036854776e+18,             724.0,             0.145,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
Warwick1201,             -9.223372036854776e+18,             192.0,             0.016,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
small,             54.0,             54.0,             0.000,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            54.0
film-12,             -9.223372036854776e+18,             349.0,             0.047,            false,             false,            true,            -,            -0.0,            false,            TD,            100,            1.000,            -1.0
film105,             -9.223372036854776e+18,             739.0,             0.126,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
small2,             56.0,             56.0,             0.000,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            56.0
Shaw2020,             -9.223372036854776e+18,             590.0,             0.156,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
tiny,             29.0,             29.0,             0.000,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            29.0
tiny2,             9.0,             9.0,             0.000,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            9.0
film-10,             -9.223372036854776e+18,             324.0,             0.025,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
concert,             -9.223372036854776e+18,             98.0,             0.005,            false,             false,            true,            -,            -0.001,            false,            TD,            100,            1.000,            -1.0
MobStory,             -9.223372036854776e+18,             725.0,             0.368,            false,             false,            true,            -,            0.0,            false,            TD,            100,            1.000,            -1.0
film117,             913.0,             913.0,             1.155,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            913.0
film116,             541.0,             541.0,             0.735,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            541.0
film119,             790.0,             790.0,             0.500,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            790.0
film103,             1031.0,             1031.0,             1.272,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            1031.0
film118,             853.0,             853.0,             0.380,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            853.0
film114,             867.0,             867.0,             0.461,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            867.0
Warwick1201,             222.0,             222.0,             0.295,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            222.0
small,             54.0,             54.0,             0.000,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            54.0
film-12,             401.0,             401.0,             0.010,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            401.0
film105,             849.0,             849.0,             0.139,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            849.0
small2,             56.0,             56.0,             0.000,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            56.0
Shaw2020,             877.0,             877.0,             7.921,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            877.0
tiny,             29.0,             29.0,             0.000,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            29.0
tiny2,             9.0,             9.0,             0.000,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            9.0
film-10,             352.0,             352.0,             0.003,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            352.0
concert,             111.0,             111.0,             0.002,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            111.0
MobStory,             871.0,             871.0,             17.944,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            871.0
