Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,Binary,Solver,Width,Gap,Objective
film117,             -9.223372036854776e+18,             716.0,             0.903,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
film116,             -9.223372036854776e+18,             431.0,             0.949,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
film119,             -9.223372036854776e+18,             631.0,             0.737,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
film103,             -9.223372036854776e+18,             844.0,             0.898,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
film118,             -9.223372036854776e+18,             697.0,             0.825,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
film114,             -9.223372036854776e+18,             724.0,             0.875,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
Warwick1201,             -9.223372036854776e+18,             194.0,             0.714,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
small,             54.0,             54.0,             0.000,            false,             false,            true,            -,            false,            TD,            200,            0.000,            54.0
film-12,             -9.223372036854776e+18,             349.0,             0.218,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
film105,             -9.223372036854776e+18,             739.0,             0.741,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
small2,             56.0,             56.0,             0.000,            false,             false,            true,            -,            false,            TD,            200,            0.000,            56.0
Shaw2020,             -9.223372036854776e+18,             595.0,             0.959,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
tiny,             29.0,             29.0,             0.000,            false,             false,            true,            -,            false,            TD,            200,            0.000,            29.0
tiny2,             9.0,             9.0,             0.000,            false,             false,            true,            -,            false,            TD,            200,            0.000,            9.0
film-10,             -9.223372036854776e+18,             324.0,             0.072,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
concert,             111.0,             111.0,             0.001,            false,             false,            true,            -,            false,            TD,            200,            0.000,            111.0
MobStory,             -9.223372036854776e+18,             725.0,             1.916,            false,             false,            true,            -,            false,            TD,            200,            1.000,            -1.0
film117,             913.0,             913.0,             0.670,            false,             false,            false,            -,            false,            BB,            0,            0.000,            913.0
film116,             541.0,             541.0,             0.453,            false,             false,            false,            -,            false,            BB,            0,            0.000,            541.0
film119,             790.0,             790.0,             0.286,            false,             false,            false,            -,            false,            BB,            0,            0.000,            790.0
film103,             1031.0,             1031.0,             0.712,            false,             false,            false,            -,            false,            BB,            0,            0.000,            1031.0
film118,             853.0,             853.0,             0.224,            false,             false,            false,            -,            false,            BB,            0,            0.000,            853.0
film114,             867.0,             867.0,             0.262,            false,             false,            false,            -,            false,            BB,            0,            0.000,            867.0
Warwick1201,             222.0,             222.0,             0.168,            false,             false,            false,            -,            false,            BB,            0,            0.000,            222.0
small,             54.0,             54.0,             0.000,            false,             false,            false,            -,            false,            BB,            0,            0.000,            54.0
film-12,             401.0,             401.0,             0.006,            false,             false,            false,            -,            false,            BB,            0,            0.000,            401.0
film105,             849.0,             849.0,             0.079,            false,             false,            false,            -,            false,            BB,            0,            0.000,            849.0
small2,             56.0,             56.0,             0.000,            false,             false,            false,            -,            false,            BB,            0,            0.000,            56.0
Shaw2020,             877.0,             877.0,             6.504,            false,             false,            false,            -,            false,            BB,            0,            0.000,            877.0
tiny,             29.0,             29.0,             0.000,            false,             false,            false,            -,            false,            BB,            0,            0.000,            29.0
tiny2,             9.0,             9.0,             0.000,            false,             false,            false,            -,            false,            BB,            0,            0.000,            9.0
film-10,             352.0,             352.0,             0.002,            false,             false,            false,            -,            false,            BB,            0,            0.000,            352.0
concert,             111.0,             111.0,             0.002,            false,             false,            false,            -,            false,            BB,            0,            0.000,            111.0
MobStory,             871.0,             871.0,             17.892,            false,             false,            false,            -,            false,            BB,            0,            0.000,            871.0
