Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
film114,             -9.223372036854776e+18,             743.0,             0.064,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
MobStory,             -9.223372036854776e+18,             734.0,             0.205,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
film116,             -9.223372036854776e+18,             450.0,             0.064,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
film-10,             352.0,             352.0,             0.002,            false,             false,            false,            false,            TD,            500,            0.000,            352.0
film119,             -9.223372036854776e+18,             654.0,             0.054,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
small2,             56.0,             56.0,             0.000,            false,             false,            false,            false,            TD,            500,            0.000,            56.0
tiny2,             9.0,             9.0,             0.000,            false,             false,            false,            false,            TD,            500,            0.000,            9.0
tiny,             29.0,             29.0,             0.000,            false,             false,            false,            false,            TD,            500,            0.000,            29.0
concert,             111.0,             111.0,             0.001,            false,             false,            false,            false,            TD,            500,            0.000,            111.0
Shaw2020,             -9.223372036854776e+18,             614.0,             0.082,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
film117,             -9.223372036854776e+18,             745.0,             0.065,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
film103,             -9.223372036854776e+18,             863.0,             0.070,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
small,             54.0,             54.0,             0.000,            false,             false,            false,            false,            TD,            500,            0.000,            54.0
film105,             -9.223372036854776e+18,             761.0,             0.056,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
film118,             -9.223372036854776e+18,             729.0,             0.063,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
film-12,             401.0,             401.0,             0.012,            false,             false,            false,            false,            TD,            500,            0.000,            401.0
Warwick1201,             -9.223372036854776e+18,             204.0,             0.074,            false,             false,            false,            false,            TD,            500,            1.000,            -1.0
film114,             -9.223372036854776e+18,             724.0,             5.361,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
MobStory,             -9.223372036854776e+18,             725.0,             12.677,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
film116,             -9.223372036854776e+18,             431.0,             5.635,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
film-10,             352.0,             352.0,             0.002,            false,             false,            true,            false,            TD,            500,            0.000,            352.0
film119,             -9.223372036854776e+18,             631.0,             4.858,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
small2,             56.0,             56.0,             0.000,            false,             false,            true,            false,            TD,            500,            0.000,            56.0
tiny2,             9.0,             9.0,             0.000,            false,             false,            true,            false,            TD,            500,            0.000,            9.0
tiny,             29.0,             29.0,             0.000,            false,             false,            true,            false,            TD,            500,            0.000,            29.0
concert,             111.0,             111.0,             0.001,            false,             false,            true,            false,            TD,            500,            0.000,            111.0
Shaw2020,             -9.223372036854776e+18,             595.0,             5.487,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
film117,             -9.223372036854776e+18,             716.0,             5.489,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
film103,             -9.223372036854776e+18,             844.0,             5.860,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
small,             54.0,             54.0,             0.000,            false,             false,            true,            false,            TD,            500,            0.000,            54.0
film105,             -9.223372036854776e+18,             739.0,             4.566,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
film118,             -9.223372036854776e+18,             701.0,             5.012,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
film-12,             -9.223372036854776e+18,             359.0,             0.517,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
Warwick1201,             -9.223372036854776e+18,             194.0,             5.740,            false,             false,            true,            false,            TD,            500,            1.000,            -1.0
film114,             867.0,             867.0,             0.262,            false,             false,            false,            false,            BB,            0,            0.000,            867.0
MobStory,             871.0,             871.0,             17.892,            false,             false,            false,            false,            BB,            0,            0.000,            871.0
film116,             541.0,             541.0,             0.453,            false,             false,            false,            false,            BB,            0,            0.000,            541.0
film-10,             352.0,             352.0,             0.002,            false,             false,            false,            false,            BB,            0,            0.000,            352.0
film119,             790.0,             790.0,             0.286,            false,             false,            false,            false,            BB,            0,            0.000,            790.0
small2,             56.0,             56.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            56.0
tiny2,             9.0,             9.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            9.0
tiny,             29.0,             29.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            29.0
concert,             111.0,             111.0,             0.002,            false,             false,            false,            false,            BB,            0,            0.000,            111.0
Shaw2020,             877.0,             877.0,             6.504,            false,             false,            false,            false,            BB,            0,            0.000,            877.0
film117,             913.0,             913.0,             0.670,            false,             false,            false,            false,            BB,            0,            0.000,            913.0
film103,             1031.0,             1031.0,             0.712,            false,             false,            false,            false,            BB,            0,            0.000,            1031.0
small,             54.0,             54.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            54.0
film105,             849.0,             849.0,             0.079,            false,             false,            false,            false,            BB,            0,            0.000,            849.0
film118,             853.0,             853.0,             0.224,            false,             false,            false,            false,            BB,            0,            0.000,            853.0
film-12,             401.0,             401.0,             0.006,            false,             false,            false,            false,            BB,            0,            0.000,            401.0
Warwick1201,             222.0,             222.0,             0.168,            false,             false,            false,            false,            BB,            0,            0.000,            222.0
