Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,Binary,Solver,Width,Gap,Objective
rbg086a,             inf,             13559.0,             0.373,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg035a,             inf,             1252.0,             0.085,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg092a,             inf,             8497.0,             0.606,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg152,             inf,             8109.0,             2.352,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg020a,             inf,             4567.0,             0.002,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg021,             inf,             2011.0,             0.018,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg021,             inf,             4219.0,             0.010,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg021,             inf,             2011.0,             0.018,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg050c,             inf,             9331.0,             0.149,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg055a,             inf,             5607.0,             0.103,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg125a,             inf,             8572.0,             1.131,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg035a,             inf,             1916.0,             0.068,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg017,             inf,             1830.0,             0.008,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg172a,             inf,             10946.0,             2.796,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg016b,             inf,             1564.0,             0.010,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg019d,             3479.0,             3479.0,             0.002,            false,             false,            false,            -,            false,            TD,            100,            0.000,            3479.0
rbg021,             inf,             4183.0,             0.012,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg067a,             inf,             9009.0,             0.119,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
rbg042a,             inf,             2187.0,             0.100,            false,             false,            false,            -,            false,            TD,            100,            1.000,            0.0
