Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
rbg086a,             inf,             13192.0,             0.197,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg035a,             inf,             1136.0,             0.042,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg092a,             inf,             8055.0,             0.312,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg152,             inf,             7389.0,             1.192,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg020a,             inf,             4537.0,             0.001,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg021,             inf,             1569.0,             0.009,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg021,             inf,             4104.0,             0.005,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg021,             inf,             1569.0,             0.010,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg050c,             inf,             9190.0,             0.072,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg055a,             inf,             4408.0,             0.092,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg125a,             inf,             7357.0,             0.713,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg035a,             inf,             1763.0,             0.033,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg017,             inf,             1641.0,             0.005,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg172a,             inf,             9138.0,             1.653,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg016b,             inf,             1447.0,             0.006,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg019d,             inf,             2544.0,             0.005,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg021,             inf,             4093.0,             0.006,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg067a,             inf,             7765.0,             0.099,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg042a,             inf,             1766.0,             0.055,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg132,             inf,             10163.0,             0.768,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg040a,             inf,             4050.0,             0.036,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg021,             inf,             1569.0,             0.010,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg049a,             inf,             11207.0,             0.068,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg031a,             inf,             1420.0,             0.026,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg021,             inf,             1569.0,             0.010,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg048a,             inf,             7973.0,             0.062,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg019a,             2694.0,             2694.0,             0.000,            false,             false,            false,            false,            TD,            50,            0.000,            2694.0
rbg021,             inf,             4057.0,             0.007,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg193,             inf,             9332.0,             2.264,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg017,             inf,             1895.0,             0.002,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
rbg034a,             inf,             2394.0,             0.025,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
