Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,MergeQuality,Binary,Solver,Width,Gap,Objective
f4_l-d_kp_4_11,             23.0,             23.0,             0.000,            false,             false,            false,            true,            0.0,            false,            IR,            50,            0.000,            23.0
f7_l-d_kp_7_50,             107.0,             107.0,             0.000,            false,             false,            false,            true,            0.0,            false,            IR,            50,            0.000,            107.0
knapPI_3_200_1000_1,             -9.223372036854776e+18,             15826.0,             0.034,            false,             false,            false,            true,            0.0,            false,            IR,            50,            1.000,            -1.0
knapPI_2_1000_1000_1,             -9.223372036854776e+18,             406737.0,             0.320,            false,             false,            false,            true,            0.0,            false,            IR,            50,            1.000,            -1.0
f6_l-d_kp_10_60,             52.0,             52.0,             0.001,            false,             false,            false,            true,            0.0,            false,            IR,            50,            0.000,            52.0
knapPI_1_2000_1000_1,             -9.223372036854776e+18,             926078.0,             0.667,            false,             false,            false,            true,            0.0,            false,            IR,            50,            1.000,            -1.0
knapPI_2_2000_1000_1,             -9.223372036854776e+18,             954974.0,             0.658,            false,             false,            false,            true,            0.0,            false,            IR,            50,            1.000,            -1.0
knapPI_1_500_1000_1,             -9.223372036854776e+18,             143112.0,             0.147,            false,             false,            false,            true,            0.0,            false,            IR,            50,            1.000,            -1.0
f8_l-d_kp_23_10000,             -9.223372036854776e+18,             16877.0,             0.003,            false,             false,            false,            true,            0.0,            false,            IR,            50,            1.000,            -1.0
knapPI_3_2000_1000_1,             -9.223372036854776e+18,             1109696.0,             0.679,            false,             false,            false,            true,            0.0,            false,            IR,            50,            1.000,            -1.0
knapPI_2_500_1000_1,             -9.223372036854776e+18,             127202.0,             0.152,            false,             false,            false,            true,            0.0,            false,            IR,            50,            1.000,            -1.0
knapPI_3_1000_1000_1,             -9.223372036854776e+18,             477657.0,             0.316,            false,             false,            false,            true,            0.0,            false,            IR,            50,            1.000,            -1.0
