Name,Lower,Upper,Duration,Aborted,Cluster,Solver,Width,Gap,Objective
f3_l-d_kp_4_20,             35,             35,             0.001,            false,             false,            IR,            50,            0.000,            35
f8_l-d_kp_23_10000,             -9223372036854775808,             17359,             0.047,            false,             false,            IR,            50,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1025,             0.025,            false,             false,            IR,            50,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.002,            false,             false,            IR,            50,            0.000,            107
knapPI_1_1000_1000_1,             -9223372036854775808,             401572,             120.990,            false,             false,            IR,            50,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            IR,            50,            0.000,            130
knapPI_1_100_1000_1,             -9223372036854775808,             10149,             0.884,            false,             false,            IR,            50,            1.000,            -1
f6_l-d_kp_10_60,             52,             59,             0.007,            false,             false,            IR,            50,            0.119,            52
f1_l-d_kp_10_269,             295,             295,             0.004,            false,             false,            IR,            50,            0.000,            295
f4_l-d_kp_4_11,             23,             23,             0.001,            false,             false,            IR,            50,            0.000,            23
f2_l-d_kp_20_878,             1024,             1024,             0.024,            false,             false,            IR,            50,            0.000,            1024
f3_l-d_kp_4_20,             35,             35,             0.001,            false,             true,            IR,            50,            0.000,            35
f10_l-d_kp_20_879,             35,             1025,             0.030,            false,             true,            IR,            50,            0.966,            35
f1_l-d_kp_10_269,             295,             295,             0.004,            false,             true,            IR,            50,            0.000,            295
f4_l-d_kp_4_11,             23,             23,             0.001,            false,             true,            IR,            50,            0.000,            23
f2_l-d_kp_20_878,             35,             1024,             0.029,            false,             true,            IR,            50,            0.966,            35
knapPI_3_500_1000_1,             -9223372036854775808,             111023,             0.105,            false,             false,            TD,            50,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             380615,             0.272,            false,             false,            TD,            50,            1.000,            -1
knapPI_2_2000_1000_1,             -9223372036854775808,             920595,             0.651,            false,             false,            TD,            50,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            TD,            50,            0.000,            35
f8_l-d_kp_23_10000,             -9223372036854775808,             16885,             0.001,            false,             false,            TD,            50,            1.000,            -1
knapPI_1_500_1000_1,             -9223372036854775808,             142181,             0.130,            false,             false,            TD,            50,            1.000,            -1
knapPI_3_5000_1000_1,             -9223372036854775808,             2832907,             1.512,            false,             false,            TD,            50,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             910770,             0.582,            false,             false,            TD,            50,            1.000,            -1
knapPI_3_100_1000_1,             -9223372036854775808,             7462,             0.007,            false,             false,            TD,            50,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1025,             0.001,            false,             false,            TD,            50,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            TD,            50,            0.000,            107
knapPI_2_200_1000_1,             -9223372036854775808,             10962,             0.022,            false,             false,            TD,            50,            1.000,            -1
knapPI_1_1000_1000_1,             -9223372036854775808,             396405,             0.259,            false,             false,            TD,            50,            1.000,            -1
knapPI_3_2000_1000_1,             -9223372036854775808,             984136,             0.563,            false,             false,            TD,            50,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            TD,            50,            0.000,            130
knapPI_1_100_1000_1,             -9223372036854775808,             9993,             0.006,            false,             false,            TD,            50,            1.000,            -1
f6_l-d_kp_10_60,             52,             52,             0.000,            false,             false,            TD,            50,            0.000,            52
knapPI_1_5000_1000_1,             -9223372036854775808,             2431386,             1.789,            false,             false,            TD,            50,            1.000,            -1
knapPI_2_5000_1000_1,             -9223372036854775808,             2474491,             1.711,            false,             false,            TD,            50,            1.000,            -1
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            TD,            50,            0.000,            295
knapPI_3_1000_1000_1,             -9223372036854775808,             387239,             0.263,            false,             false,            TD,            50,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            TD,            50,            0.000,            23
knapPI_3_200_1000_1,             -9223372036854775808,             14570,             0.019,            false,             false,            TD,            50,            1.000,            -1
knapPI_1_200_1000_1,             -9223372036854775808,             21714,             0.019,            false,             false,            TD,            50,            1.000,            -1
knapPI_2_100_1000_1,             -9223372036854775808,             5226,             0.007,            false,             false,            TD,            50,            1.000,            -1
knapPI_2_500_1000_1,             -9223372036854775808,             113658,             0.127,            false,             false,            TD,            50,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.001,            false,             false,            TD,            50,            0.000,            1024
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            BB,            0,            0.000,            35
f8_l-d_kp_23_10000,             9767,             9767,             0.021,            false,             false,            BB,            0,            0.000,            9767
f10_l-d_kp_20_879,             1025,             1025,             0.000,            false,             false,            BB,            0,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            BB,            0,            0.000,            107
knapPI_1_1000_1000_1,             54503,             54503,             1.853,            false,             false,            BB,            0,            0.000,            54503
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            BB,            0,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.003,            false,             false,            BB,            0,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.000,            false,             false,            BB,            0,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            BB,            0,            0.000,            295
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            BB,            0,            0.000,            23
f2_l-d_kp_20_878,             1024,             1024,             0.000,            false,             false,            BB,            0,            0.000,            1024
