Name,Lower,Upper,Duration,Aborted,Cluster,Solver,Width,Gap,Objective
rbg086a,             +inf,             9491.00,             0.559,            false,             false,            IR,            50,            1.000,            0.00
rbg035a,             +inf,             130.00,             0.097,            false,             false,            IR,            50,            1.000,            0.00
rbg092a,             +inf,             6630.00,             0.740,            false,             false,            IR,            50,            1.000,            0.00
rbg020a,             +inf,             3657.00,             0.015,            false,             false,            IR,            50,            1.000,            0.00
rbg021,             +inf,             1137.00,             0.017,            false,             false,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3584.00,             0.019,            false,             false,            IR,            50,            1.000,            0.00
rbg021,             +inf,             1136.00,             0.018,            false,             false,            IR,            50,            1.000,            0.00
rbg050c,             +inf,             7903.00,             0.255,            false,             false,            IR,            50,            1.000,            0.00
rbg055a,             +inf,             3054.00,             0.219,            false,             false,            IR,            50,            1.000,            0.00
rbg035a,             +inf,             1254.00,             0.073,            false,             false,            IR,            50,            1.000,            0.00
rbg017,             +inf,             1168.00,             0.010,            false,             false,            IR,            50,            1.000,            0.00
rbg016b,             +inf,             922.00,             0.012,            false,             false,            IR,            50,            1.000,            0.00
rbg019d,             +inf,             911.00,             0.016,            false,             false,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3585.00,             0.014,            false,             false,            IR,            50,            1.000,            0.00
rbg067a,             +inf,             5720.00,             0.271,            false,             false,            IR,            50,            1.000,            0.00
rbg042a,             +inf,             515.00,             0.131,            false,             false,            IR,            50,            1.000,            0.00
rbg040a,             +inf,             3540.00,             0.085,            false,             false,            IR,            50,            1.000,            0.00
rbg021,             +inf,             1137.00,             0.021,            false,             false,            IR,            50,            1.000,            0.00
rbg049a,             +inf,             9897.00,             0.183,            false,             false,            IR,            50,            1.000,            0.00
rbg031a,             +inf,             1014.00,             0.061,            false,             false,            IR,            50,            1.000,            0.00
rbg021,             +inf,             1135.00,             0.019,            false,             false,            IR,            50,            1.000,            0.00
rbg048a,             +inf,             6654.00,             0.198,            false,             false,            IR,            50,            1.000,            0.00
rbg019a,             +inf,             2153.00,             0.005,            false,             false,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3585.00,             0.016,            false,             false,            IR,            50,            1.000,            0.00
rbg017,             +inf,             1496.00,             0.007,            false,             false,            IR,            50,            1.000,            0.00
rbg034a,             +inf,             1704.00,             0.058,            false,             false,            IR,            50,            1.000,            0.00
rbg041a,             +inf,             1146.00,             0.120,            false,             false,            IR,            50,            1.000,            0.00
rbg016a,             +inf,             1332.00,             0.010,            false,             false,            IR,            50,            1.000,            0.00
rbg038a,             +inf,             3711.00,             0.069,            false,             false,            IR,            50,            1.000,            0.00
rbg033a,             +inf,             1129.00,             0.066,            false,             false,            IR,            50,            1.000,            0.00
rbg017a,             +inf,             3678.00,             0.008,            false,             false,            IR,            50,            1.000,            0.00
rbg019c,             +inf,             3584.00,             0.018,            false,             false,            IR,            50,            1.000,            0.00
rbg010a,             +inf,             999.00,             0.004,            false,             false,            IR,            50,            1.000,            0.00
rbg050a,             +inf,             3046.00,             0.215,            false,             false,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3581.00,             0.016,            false,             false,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3585.00,             0.018,            false,             false,            IR,            50,            1.000,            0.00
rbg019b,             +inf,             1010.00,             0.019,            false,             false,            IR,            50,            1.000,            0.00
rbg027a,             +inf,             3605.00,             0.048,            false,             false,            IR,            50,            1.000,            0.00
rbg050b,             +inf,             8892.00,             0.194,            false,             false,            IR,            50,            1.000,            0.00
rbg086a,             +inf,             9491.00,             0.972,            false,             true,            IR,            50,            1.000,            0.00
rbg035a,             +inf,             102.00,             0.976,            false,             true,            IR,            50,            1.000,            0.00
rbg092a,             +inf,             6630.00,             1.338,            false,             true,            IR,            50,            1.000,            0.00
rbg020a,             +inf,             3645.00,             0.097,            false,             true,            IR,            50,            1.000,            0.00
rbg021,             +inf,             1137.00,             0.202,            false,             true,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3533.00,             0.149,            false,             true,            IR,            50,            1.000,            0.00
rbg021,             +inf,             1136.00,             0.222,            false,             true,            IR,            50,            1.000,            0.00
rbg050c,             +inf,             7901.00,             1.141,            false,             true,            IR,            50,            1.000,            0.00
rbg055a,             +inf,             3054.00,             0.471,            false,             true,            IR,            50,            1.000,            0.00
rbg035a,             +inf,             1254.00,             0.244,            false,             true,            IR,            50,            1.000,            0.00
rbg017,             +inf,             1168.00,             0.064,            false,             true,            IR,            50,            1.000,            0.00
rbg016b,             +inf,             922.00,             0.095,            false,             true,            IR,            50,            1.000,            0.00
rbg019d,             +inf,             911.00,             0.047,            false,             true,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3533.00,             0.129,            false,             true,            IR,            50,            1.000,            0.00
rbg067a,             +inf,             4505.00,             0.583,            false,             true,            IR,            50,            1.000,            0.00
rbg042a,             +inf,             515.00,             0.450,            false,             true,            IR,            50,            1.000,            0.00
rbg040a,             +inf,             3540.00,             0.273,            false,             true,            IR,            50,            1.000,            0.00
rbg021,             +inf,             1137.00,             0.317,            false,             true,            IR,            50,            1.000,            0.00
rbg049a,             +inf,             9892.00,             0.864,            false,             true,            IR,            50,            1.000,            0.00
rbg031a,             +inf,             1014.00,             0.248,            false,             true,            IR,            50,            1.000,            0.00
rbg021,             +inf,             1135.00,             0.244,            false,             true,            IR,            50,            1.000,            0.00
rbg048a,             +inf,             6646.00,             1.175,            false,             true,            IR,            50,            1.000,            0.00
rbg019a,             +inf,             2456.00,             0.004,            false,             true,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3533.00,             0.178,            false,             true,            IR,            50,            1.000,            0.00
rbg017,             +inf,             1508.00,             0.017,            false,             true,            IR,            50,            1.000,            0.00
rbg034a,             +inf,             1704.00,             0.212,            false,             true,            IR,            50,            1.000,            0.00
rbg041a,             +inf,             1146.00,             0.370,            false,             true,            IR,            50,            1.000,            0.00
rbg016a,             +inf,             1332.00,             0.053,            false,             true,            IR,            50,            1.000,            0.00
rbg038a,             +inf,             3711.00,             0.317,            false,             true,            IR,            50,            1.000,            0.00
rbg033a,             +inf,             1129.00,             0.239,            false,             true,            IR,            50,            1.000,            0.00
rbg017a,             +inf,             3630.00,             0.070,            false,             true,            IR,            50,            1.000,            0.00
rbg019c,             +inf,             3533.00,             0.128,            false,             true,            IR,            50,            1.000,            0.00
rbg010a,             +inf,             999.00,             0.011,            false,             true,            IR,            50,            1.000,            0.00
rbg050a,             +inf,             3046.00,             1.773,            false,             true,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3533.00,             0.182,            false,             true,            IR,            50,            1.000,            0.00
rbg021,             +inf,             3533.00,             0.154,            false,             true,            IR,            50,            1.000,            0.00
rbg019b,             +inf,             1010.00,             0.103,            false,             true,            IR,            50,            1.000,            0.00
rbg027a,             +inf,             3597.00,             0.415,            false,             true,            IR,            50,            1.000,            0.00
rbg050b,             +inf,             8850.00,             0.822,            false,             true,            IR,            50,            1.000,            0.00
rbg086a,             +inf,             13192.00,             0.217,            false,             false,            TD,            50,            1.000,            0.00
rbg035a,             +inf,             1136.00,             0.045,            false,             false,            TD,            50,            1.000,            0.00
rbg092a,             +inf,             8055.00,             0.307,            false,             false,            TD,            50,            1.000,            0.00
rbg020a,             +inf,             4537.00,             0.001,            false,             false,            TD,            50,            1.000,            0.00
rbg021,             +inf,             1569.00,             0.010,            false,             false,            TD,            50,            1.000,            0.00
rbg021,             +inf,             4104.00,             0.009,            false,             false,            TD,            50,            1.000,            0.00
rbg021,             +inf,             1569.00,             0.010,            false,             false,            TD,            50,            1.000,            0.00
rbg050c,             +inf,             9190.00,             0.090,            false,             false,            TD,            50,            1.000,            0.00
rbg055a,             +inf,             4408.00,             0.090,            false,             false,            TD,            50,            1.000,            0.00
rbg035a,             +inf,             1763.00,             0.042,            false,             false,            TD,            50,            1.000,            0.00
rbg017,             +inf,             1641.00,             0.004,            false,             false,            TD,            50,            1.000,            0.00
rbg016b,             +inf,             1447.00,             0.005,            false,             false,            TD,            50,            1.000,            0.00
rbg019d,             +inf,             2544.00,             0.005,            false,             false,            TD,            50,            1.000,            0.00
rbg021,             +inf,             4093.00,             0.008,            false,             false,            TD,            50,            1.000,            0.00
rbg067a,             +inf,             7765.00,             0.114,            false,             false,            TD,            50,            1.000,            0.00
rbg042a,             +inf,             1766.00,             0.068,            false,             false,            TD,            50,            1.000,            0.00
rbg040a,             +inf,             4050.00,             0.037,            false,             false,            TD,            50,            1.000,            0.00
rbg021,             +inf,             1569.00,             0.012,            false,             false,            TD,            50,            1.000,            0.00
rbg049a,             +inf,             11207.00,             0.068,            false,             false,            TD,            50,            1.000,            0.00
rbg031a,             +inf,             1420.00,             0.028,            false,             false,            TD,            50,            1.000,            0.00
rbg021,             +inf,             1569.00,             0.011,            false,             false,            TD,            50,            1.000,            0.00
rbg048a,             +inf,             7973.00,             0.079,            false,             false,            TD,            50,            1.000,            0.00
rbg019a,             2694.00,             2694.00,             0.000,            false,             false,            TD,            50,            0.000,            2694.00
rbg021,             +inf,             4057.00,             0.008,            false,             false,            TD,            50,            1.000,            0.00
rbg017,             +inf,             1895.00,             0.002,            false,             false,            TD,            50,            1.000,            0.00
rbg034a,             +inf,             2394.00,             0.023,            false,             false,            TD,            50,            1.000,            0.00
rbg041a,             +inf,             1859.00,             0.063,            false,             false,            TD,            50,            1.000,            0.00
rbg016a,             +inf,             1873.00,             0.003,            false,             false,            TD,            50,            1.000,            0.00
rbg038a,             +inf,             4530.00,             0.029,            false,             false,            TD,            50,            1.000,            0.00
rbg033a,             +inf,             1499.00,             0.031,            false,             false,            TD,            50,            1.000,            0.00
rbg017a,             +inf,             3942.00,             0.003,            false,             false,            TD,            50,            1.000,            0.00
rbg019c,             +inf,             4104.00,             0.008,            false,             false,            TD,            50,            1.000,            0.00
rbg010a,             3840.00,             3840.00,             0.000,            false,             false,            TD,            50,            0.000,            3840.00
rbg050a,             +inf,             4188.00,             0.096,            false,             false,            TD,            50,            1.000,            0.00
rbg021,             +inf,             4059.00,             0.007,            false,             false,            TD,            50,            1.000,            0.00
rbg021,             +inf,             4065.00,             0.009,            false,             false,            TD,            50,            1.000,            0.00
rbg019b,             +inf,             1203.00,             0.010,            false,             false,            TD,            50,            1.000,            0.00
rbg027a,             +inf,             4351.00,             0.015,            false,             false,            TD,            50,            1.000,            0.00
rbg050b,             +inf,             10089.00,             0.074,            false,             false,            TD,            50,            1.000,            0.00
